We got some songs by searching the word ' points ' using iTunes API. 
Here are the results after sorting the songs by their length - longest to shortest: 

  

Title, Artist, Duration(ms), Album
Din Da Da, The Roots, 493013, The Tipping Point
Star / Pointro, The Roots, 456147, The Tipping Point
Point Blank, Bruce Springsteen, 366161, The River
Between Two Points (feat. Swan), The Glitch Mob, 335170, Drink the Sea
The Point of No Return, Phantom Of The Opera Original London Cast & Michael Reed, 332960, The Phantom of the Opera (Original Cast Recording)
Hollow Points (feat. Planetary, Demoz, Vinnie Paz & Doap Nixon), Jedi Mind Tricks, 319480, Army of the Pharaohs: The Unholy Terror
Guns Are Drawn, The Roots, 315787, The Tipping Point
At This Point In My Life, Tracy Chapman, 308667, New Beginning
Room to Move, John Mayall, 303960, Turning Point
Please Stay, Anthony Hamilton, 302920, The Point of It All (Deluxe Version)
Southern Point, Grizzly Bear, 302853, Veckatimest
Points of Authority / 99 Problems / One Step Closer, JAY Z & LINKIN PARK, 295827, Collision Course (Deluxe Version)
Points of Authority / 99 Problems / One Step Closer, JAY Z & LINKIN PARK, 295827, Collision Course - EP
Find My Way (Oneohtrix Point Never Remix), Nine Inch Nails, 288901, Hesitation Marks (Deluxe Version)
Past the Point of Rescue, Hal Ketchum, 266360, Hal Ketchum: The Hits
Romeo and Juliet, Matt Nathanson, 265333, At the Point (Live)
Cool (feat. David Banner), Anthony Hamilton, 255813, The Point of It All
Cool (feat. David Banner), Anthony Hamilton, 255813, The Point of It All (Deluxe Version)
Dear Life, Anthony Hamilton, 254933, The Point of It All (Deluxe Version)
Breaking Point, Keri Hilson, 254867, No Boys Allowed (Deluxe)
I'm With You (Ruth & Naomi), Nichole Nordeman & Amy Grant, 254613, Music Inspired By the Story
Glory, Selah & Nichole Nordeman, 252560, Bless the Broken Road - The Duets Album
Point and Shoot, Pepper, 250147, No Shame
Let Me Love You, Mario, 249093, Turning Point
Her Heart, Anthony Hamilton, 243493, The Point of It All (Deluxe Version)
Point of No Return, Immortal Technique, 241827, Revolutionary, Vol. 2
Point to You, We Are Messengers, 241747, We Are Messengers
Dance Hall Days, Wang Chung, 240763, Points on the Curve
Slow Down, Nichole Nordeman, 238844, The Unmaking - EP
How Could You, Mario, 236000, Turning Point
Three Point One Four, Bloodhound Gang, 235373, Hooray for Boobies
The Point of It All, Anthony Hamilton, 230240, The Point of It All (Deluxe Version)
The Point of It All, Anthony Hamilton, 230240, The Point of It All
Breaking Point, Bullet for My Valentine, 222453, Temper Temper (Deluxe Version)
Watagatapitusberry (Remix) [feat. Lil Jon, Sensato, Black Point & El Cata], Pitbull, 221013, Watagatapitusberry (Remix) [feat. Lil Jon, Sensato, Black Point & El Cata] - Single
Don't Say Nuthin', The Roots, 215840, The Tipping Point
Points, James Blake, 211407, The Colour in Anything
Point of No Return, Exposé, 210733, Exposé: Greatest Hits
Two Points for Honesty, Guster, 210467, Lost and Gone Forever
Dust In the Wind, Kansas, 206267, Point of Know Return
Points of Authority, LINKIN PARK, 200309, Hybrid Theory
The Devil Went Down to Georgia, Point Blank, 199133, Cast the First Stone
Arch & Point, Miguel, 197227, Kaleidoscope Dream
All Signs Point to Lauderdale, A Day to Remember, 197200, What Separates Me from You
Turning Point, Killswitch Engage, 191992, Disarm the Descent (Special Edition)
Point of Know Return, Kansas, 191400, The Best of Kansas
Point of Know Return, Kansas, 190760, Point of Know Return
Never Saw the Point, Cults, 184000, Cults
Point At You, Justin Moore, 180711, Off the Beaten Path (Deluxe Edition)
Tippin' Point, Dallas Smith, 177600, Tippin' Point - EP
